"","Site","Timestamp","Year","Month","Day","tmx","Date","Time"
"174","CM.Hucking","1991.09.16",1991,9,16,20.7000007629395,1991-09-16,7928
"175","CommuniTree","1991.09.16",1991,9,16,25.8999996185303,1991-09-16,7928
"176","FORBIO_Ged","1991.09.16",1991,9,16,21.8999996185303,1991-09-16,7928
"177","FORBIO_Hek","1991.09.16",1991,9,16,21.7000007629395,1991-09-16,7928
"178","FORBIO_Zed","1991.09.16",1991,9,16,20.8999996185303,1991-09-16,7928
"179","Gazi_Bay","1991.09.16",1991,9,16,28.8999996185303,1991-09-16,7928
"180","IDENT.auclair","1991.09.16",1991,9,16,15.1000003814697,1991-09-16,7928
"181","IDENT.cloquet","1991.09.16",1991,9,16,18.3000011444092,1991-09-16,7928
"182","IDENT.MAC","1991.09.16",1991,9,16,26,1991-09-16,7928
"183","Kreinitz","1991.09.16",1991,9,16,22.1000003814697,1991-09-16,7928
"184","ORPHEE","1991.09.16",1991,9,16,25.8999996185303,1991-09-16,7928
"185","Parker_caging","1991.09.16",1991,9,16,26.5,1991-09-16,7928
"186","Ridgefield","1991.09.16",1991,9,16,18.8999996185303,1991-09-16,7928
"187","Sabah","1991.09.16",1991,9,16,29.6000003814697,1991-09-16,7928
"188","Sardinilla","1991.09.16",1991,9,16,29.6000003814697,1991-09-16,7928
"189","Satakunta","1991.09.16",1991,9,16,13.5,1991-09-16,7928
"190","BangorDIVERSE","1991.10.16",1991,10,16,13,1991-10-16,7958
"191","BEF_China","1991.10.16",1991,10,16,22.5,1991-10-16,7958
"192","BiodiversiTREE","1991.10.16",1991,10,16,22.1000003814697,1991-10-16,7958
"193","BIOTREE_Kal","1991.10.16",1991,10,16,11.6999998092651,1991-10-16,7958
"194","CM.Hartshorne","1991.10.16",1991,10,16,14.4000005722046,1991-10-16,7958
"195","CM.Hucking","1991.10.16",1991,10,16,14.4000005722046,1991-10-16,7958
"196","CommuniTree","1991.10.16",1991,10,16,17.2000007629395,1991-10-16,7958
"197","FORBIO_Ged","1991.10.16",1991,10,16,14,1991-10-16,7958
"198","FORBIO_Hek","1991.10.16",1991,10,16,14.6999998092651,1991-10-16,7958
